"Date de début";"Date de fin";"Organisme";"code zas";"Zas";"code site";"nom site";"type d'implantation";"Polluant";"type d'influence";"Réglementaire";"type d'évaluation";"type de valeur";"valeur";"valeur brute";"unité de mesure";"taux de saisie";"couverture temporelle";"couverture de données";"code qualité";"validité";"Latitude";"Longitude"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR35006";"TULLE - Hugo";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"11.081858202038918";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"45.262665";"1.762752"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZAR01";"ZAR LIMOGES";"FR35007";"PALAIS S/ V.- Garros";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"12.0";"11.801526717557259";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"45.873311";"1.307916"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZAR01";"ZAR LIMOGES";"FR35010";"LIMOGES - Aine";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"12.0";"12.360654976193272";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"45.829975";"1.254772"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZRE02";"ZR NOUVELLE-AQUITAINE";"FR35019";"SAILLAT - Ipaper";"Rurale près des villes";"PM10";"Industrielle";"Oui";"mesures fixes";"Moy. annuelle";"14.0";"14.293454713067563";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"45.875834";"0.823951"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO NOUVELLE-AQUITAINE";"FR75ZAR01";"ZAR LIMOGES";"FR35027";"LIMOGES - BERLAND";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"11.0";"10.67491950321988";"µg-m3";"99.0";"100.0";"99.0";"R";"1";"45.842204";"1.259689"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAR02";"ZAR VALLEE-DU-RHONE";"FR36002";"Valence Urb. Centre";"Urbaine";"PM10";"Fond";"Oui";"mesures indicatives";"Moy. annuelle";"15.0";"14.802943936195168";"µg-m3";;;;"R";"1";"44.933514";"4.893481"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAR02";"ZAR VALLEE-DU-RHONE";"FR36019";"Romans-sur-Isère";"Urbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"17.0";"16.88334096109842";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"45.0425";"5.0443"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZRE02";"ZR AUVERGNE-RHONE-ALPES";"FR36021";"Drôme Rurale Sud-SND";"Rurale nationale";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"8.0";"7.955875272268729";"µg-m3";"100.0";"100.0";"100.0";"R";"1";"44.569443";"5.278972"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"ATMO AUVERGNE-RHÔNE-ALPES";"FR84ZAR02";"ZAR VALLEE-DU-RHONE";"FR36032";"A7 Valence Est";"Urbaine";"PM10";"Trafic";"Oui";"mesures fixes";"Moy. annuelle";"16.0";"16.309058055490794";"µg-m3";"98.0";"100.0";"98.0";"R";"1";"44.9492";"4.890133"
"2025/01/01 00:00:00";"2025/12/31 23:59:59";"GWAD'AIR";"FR01ZAG01";"ZAG POINTE-A-PITRE";"FR37001";"ST de Baie mahault";"Périurbaine";"PM10";"Fond";"Oui";"mesures fixes";"Moy. annuelle";"22.0";"22.250754458161857";"µg-m3";"94.0";"98.0";"92.0";"R";"1";"16.257308";"-61.591725"
